episode_id,parcel_id,episode_start_date,episode_end_date,peak_date,duration_days,decision_point_count,dominant_index,worst_ndmi_value,worst_ndmi_anomaly,lowest_ndmi_percentile,best_valid_pixel_ratio,dominant_hydro_context,highest_vpd_state,persistence_state,maximum_urgency,proposed_action,justification_codes,rules_version,baseline_version,evaluation_mode,cost_model_version,cost_status,estimated_time_min_low,estimated_time_min_high,estimated_cost_eur_low,estimated_cost_eur_high,delay_cost_estimated,verification_status,verification_method,verification_result,human_decision_available,human_final_decision,generated_at
site_004_episode_20171010_06,site_004,2017-10-10,2017-10-30,2017-10-27,20,6,NDMI_BUFFER_10M,0.0449115496206407,-0.1777078704943767,0.0,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|persistent_low_signal|rule_r5|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_75|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20190619_10,site_004,2019-06-19,2019-06-29,2019-06-29,10,2,NDMI_BUFFER_10M,0.2265104980783,-0.09384115650071631,0.0,1.0,dry,very_high,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r5|rule_r6|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20210830_18,site_004,2021-08-30,2021-09-06,2021-08-30,7,3,NDMI_BUFFER_10M,0.1080973229625008,-0.1387712322175501,0.0,1.0,dry,normal,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20180707_07,site_004,2018-07-07,2018-08-03,2018-07-27,27,8,NDMI_BUFFER_10M,0.1532696798905926,-0.1058367537069983,1.4492753623188406,1.0,very_dry,normal,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20190907_11,site_004,2019-09-07,2019-09-30,2019-09-17,23,7,NDMI_BUFFER_10M,0.1541513862903229,-0.06050668886305319,1.7543859649122806,1.0,dry,high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20260421_31,site_004,2026-04-21,2026-04-26,2026-04-21,5,4,NDMI_BUFFER_10M,0.0678760000816758,-0.17204982775111796,1.9230769230769231,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20180821_08,site_004,2018-08-21,2018-09-10,2018-08-23,20,5,NDMI_BUFFER_10M,0.1597595478277513,-0.0974657261844683,2.9850746268656714,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20220807_23,site_004,2022-08-07,2022-08-10,2022-08-10,3,2,NDMI_BUFFER_10M,0.1612096241856996,-0.09692125410903382,2.9850746268656714,1.0,dry,high,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|persistent_low_signal|rule_r5|rule_r6|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20170609_04,site_004,2017-06-09,2017-06-12,2017-06-09,3,2,NDMI_BUFFER_10M,0.2615598124931709,-0.061995119350313044,3.0303030303030303,1.0,very_dry,high,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r5|rule_r6|very_dry_hydro_context|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20170717_05,site_004,2017-07-17,2017-07-29,2017-07-17,12,2,NDMI_BUFFER_10M,0.2080217080905585,-0.06291151782616825,4.054054054054054,1.0,very_dry,normal,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|persistent_low_signal|rule_r5|rule_r6|very_dry_hydro_context,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20220512_21,site_004,2022-05-12,2022-05-29,2022-05-12,17,4,NDMI_BUFFER_10M,0.1829976304222575,-0.1573284000059533,4.651162790697675,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20250617_30,site_004,2025-06-17,2025-06-29,2025-06-19,12,3,NDMI_BUFFER_10M,0.2667018729403164,-0.0527579920846179,4.838709677419355,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_75|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20200820_14,site_004,2020-08-20,2020-09-16,2020-08-27,27,6,NDMI_BUFFER_10M,0.1650040967027907,-0.09193137604553625,5.714285714285714,1.0,very_dry,normal,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r5|rule_r6|strong_persistent_low_signal|very_dry_hydro_context,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20200606_13,site_004,2020-06-06,2020-07-31,2020-06-23,55,14,NDMI_BUFFER_10M,0.2102716968511231,-0.07003923324042596,5.88235294117647,1.0,very_dry,high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20220621_22,site_004,2022-06-21,2022-06-21,2022-06-21,0,1,NDMI_BUFFER_10M,0.2744002444951823,-0.047285626190855634,7.8125,1.0,very_dry,very_high,single,high,priority_field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|rule_r6|very_dry_hydro_context|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20170403_02,site_004,2017-04-03,2017-04-13,2017-04-03,10,5,NDMI_BUFFER_10M,0.114827387605987,-0.161485806100865,11.627906976744185,1.0,dry,very_high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r3|rule_r4|rule_r6|strong_persistent_low_signal|usable_satellite_quality|vpd_percentile_ge_75|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
site_004_episode_20240806_28,site_004,2024-08-06,2024-08-16,2024-08-06,10,3,NDMI_BUFFER_10M,0.1865287171182872,-0.07208993882787498,13.23529411764706,1.0,dry,high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_004_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T13:21:49+00:00
