episode_id,parcel_id,episode_start_date,episode_end_date,peak_date,duration_days,decision_point_count,dominant_index,worst_ndmi_value,worst_ndmi_anomaly,lowest_ndmi_percentile,best_valid_pixel_ratio,dominant_hydro_context,highest_vpd_state,persistence_state,maximum_urgency,proposed_action,justification_codes,rules_version,baseline_version,evaluation_mode,cost_model_version,cost_status,estimated_time_min_low,estimated_time_min_high,estimated_cost_eur_low,estimated_cost_eur_high,delay_cost_estimated,verification_status,verification_method,verification_result,human_decision_available,human_final_decision,generated_at,episode_vegetation_anomaly_score_max,episode_climatic_pressure_score_max,episode_consistency_score_max,episode_quality_risk_score_max,simple_weather_alert_any,simple_vegetation_alert_any,simple_combined_alert_any,offline_decision_possible_any,degraded_mode_recommendation_main,episode_phenology_stage_main,episode_phenology_interpretation_risk_max,eve_v0_2_rules_version,eve_v0_2_generated_at,episode_type_primary,episode_type_flags,episode_type_confidence,eve_alert,eve_vs_simple_baseline_relation,physical_time_min_low,physical_time_min_high,physical_travel_km_low,physical_travel_km_high,physical_electricity_kwh_low,physical_electricity_kwh_high,estimated_kgco2e_low,estimated_kgco2e_high,material_mobilized,digital_dependency_level,physical_cost_model_version,physical_cost_status,cost_confidence,manual_audit_reasons,requires_manual_audit_v0_2,episode_phenology_interpretation_risk_order
site_005_episode_20230830_21,site_005,2023-08-30,2023-10-11,2023-09-16,42,13,NDMI_BUFFER_10M,0.1016819774097687,-0.15442794641932944,0.0,1.0,dry,very_high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.85,0.65,0.0,False,True,False,False,normal_digital_mode,summer_stress_window,high,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.65,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|duration_gte_30d|lowest_ndmi_percentile_lte_5,True,3
site_005_episode_20240806_24,site_005,2024-08-06,2024-08-29,2024-08-19,23,7,NDMI_BUFFER_10M,0.0803098159313604,-0.21963022244037,0.0,1.0,dry,high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.75,0.75,0.0,True,True,True,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.75,True,both_alert,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,1
site_005_episode_20171012_04,site_005,2017-10-12,2017-10-30,2017-10-27,18,5,NDMI_BUFFER_10M,0.0586384797619806,-0.2266841497574304,0.0,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r5|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_75|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,1.0,1.0,0.0,False,True,False,False,normal_digital_mode,late_season,high,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,phenology_transition|hydroclimatic_candidate,0.9,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,3
site_005_episode_20250629_28,site_005,2025-06-29,2025-07-15,2025-06-30,16,9,NDMI_BUFFER_10M,0.0786558338063391,-0.22691021127173217,0.0,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_75|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,1.0,1.0,0.0,True,True,True,False,normal_digital_mode,summer_stress_window,medium,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.9,True,both_alert,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,2
site_005_episode_20190907_09,site_005,2019-09-07,2019-10-05,2019-09-12,28,8,NDMI_BUFFER_10M,0.1051904235752551,-0.15091950025384304,1.7241379310344827,1.0,dry,high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.75,0.75,0.0,True,True,True,False,normal_digital_mode,summer_stress_window,high,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.75,True,both_alert,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,3
site_005_episode_20200706_11,site_005,2020-07-06,2020-08-20,2020-07-28,45,13,NDMI_BUFFER_10M,0.1212786290844952,-0.16991558391600847,3.0303030303030303,1.0,very_dry,high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,1.0,1.0,0.0,True,True,True,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.9,True,both_alert,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|duration_gte_30d|lowest_ndmi_percentile_lte_5,True,1
site_005_episode_20170609_03,site_005,2017-06-09,2017-06-24,2017-06-12,15,5,NDMI_BUFFER_10M,0.1417591020062163,-0.16380694307185498,3.076923076923077,1.0,very_dry,very_high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|ndmi_percentile_le_20|persistent_low_signal|rule_r5|rule_r6|strong_persistent_low_signal|very_dry_hydro_context|vpd_percentile_ge_75|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,1.0,1.0,0.0,False,True,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.9,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,2
site_005_episode_20260523_31,site_005,2026-05-23,2026-05-28,2026-05-23,5,4,NDMI_BUFFER_10M,0.2184312730222135,-0.14808172611771403,4.0,1.0,dry,very_high,strong_persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_10|persistent_low_signal|rule_r5|rule_r6|strong_persistent_low_signal|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.85,0.85,0.0,False,True,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.85,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check|lowest_ndmi_percentile_lte_5,True,2
site_005_episode_20220810_18,site_005,2022-08-10,2022-08-12,2022-08-12,2,2,NDMI_BUFFER_10M,0.2287844291611298,-0.07102246955037111,16.129032258064516,1.0,very_dry,high,persistent,high,priority_field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_20|persistent_low_signal|rule_r5|rule_r6|very_dry_hydro_context|vpd_percentile_ge_75,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,120,20.0,70.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,0.65,1.0,0.65,0.0,True,False,True,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.65,True,both_alert,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,priority_field_check,True,1
site_005_episode_20250831_29,site_005,2025-08-31,2025-08-31,2025-08-31,0,1,NDMI_BUFFER_10M,0.1463769137406268,-0.15539960011940548,1.5625,1.0,dry,normal,single,medium,field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_10|rule_r5,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.6,0.6,0.0,False,True,False,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.6,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,field_check|lowest_ndmi_percentile_lte_5,True,1
site_005_episode_20190530_07,site_005,2019-05-30,2019-05-30,2019-05-30,0,1,NDMI_BUFFER_10M,0.2108683638476036,-0.14795955008751638,2.3255813953488373,1.0,dry,normal,single,medium,field_check,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|rule_r5,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.6,0.6,0.0,False,True,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.6,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,field_check|lowest_ndmi_percentile_lte_5,True,2
site_005_episode_20220703_17,site_005,2022-07-03,2022-07-03,2022-07-03,0,1,NDMI_BUFFER_10M,0.15023931095729,-0.14095490204321368,5.88235294117647,1.0,dry,normal,single,medium,field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_10|rule_r5,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,0.85,0.6,0.6,0.0,False,True,False,False,normal_digital_mode,summer_stress_window,low,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.6,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,field_check,True,1
site_005_episode_20210422_12,site_005,2021-04-22,2021-04-22,2021-04-22,0,1,NDMI_BUFFER_10M,0.2362637892365455,-0.07354100793600088,13.953488372093023,1.0,very_dry,normal,single,medium,field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_20|rule_r5|very_dry_hydro_context,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,0.65,0.85,0.65,0.0,False,False,False,False,normal_digital_mode,early_season,high,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,phenology_transition|hydroclimatic_candidate,0.65,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,field_check,True,3
site_005_episode_20170515_02,site_005,2017-05-15,2017-05-15,2017-05-15,0,1,NDMI_BUFFER_10M,0.289837621353768,-0.07805010595837159,15.217391304347828,1.0,dry,normal,single,medium,field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_20|rule_r5,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,0.65,0.6,0.6,0.0,False,False,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.6,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,field_check,True,2
site_005_episode_20220404_15,site_005,2022-04-04,2022-04-04,2022-04-04,0,1,NDMI_BUFFER_10M,0.2372709724145966,-0.07913966537327388,15.217391304347828,1.0,dry,normal,single,medium,field_check,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_20|rule_r5,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,0.65,0.6,0.6,0.0,False,False,False,False,normal_digital_mode,early_season,high,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,phenology_transition|hydroclimatic_candidate,0.6,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,field_check,True,3
site_005_episode_20220507_16,site_005,2022-05-07,2022-05-07,2022-05-07,0,1,NDMI_BUFFER_10M,0.2964687488369039,-0.0739538496410525,18.6046511627907,1.0,very_dry,normal,single,medium,field_check,good_satellite_quality|low_precipitation_context|ndmi_percentile_le_20|rule_r5|very_dry_hydro_context,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,60,90,20.0,50.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,0.65,0.85,0.65,0.0,False,False,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate,0.65,True,eve_only,60,120,,,0.0,0.0,,,human_vehicle_optional,low,eve_costs_v0_2,theoretical,low,field_check,True,2
site_005_episode_20180420_05,site_005,2018-04-20,2018-05-03,2018-04-20,13,3,NDMI_BUFFER_10M,0.1510930643291086,-0.18504144127278513,0.0,1.0,dry,very_high,strong_persistent,medium,review_raster,dry_hydro_context|good_satellite_quality|low_precipitation_context|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r3|rule_r4|strong_persistent_low_signal|usable_satellite_quality|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.6,0.6,0.35,False,True,False,False,normal_digital_mode,early_season,high,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,phenology_transition|hydroclimatic_candidate,0.6,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,lowest_ndmi_percentile_lte_5,True,3
site_005_episode_20190629_08,site_005,2019-06-29,2019-07-07,2019-07-02,8,3,NDMI_BUFFER_10M,0.0909842786857405,-0.2133570266635837,0.0,1.0,dry,very_high,strong_persistent,medium,review_raster,dry_hydro_context|good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|rule_r5|strong_persistent_low_signal|vpd_percentile_ge_75|vpd_percentile_ge_90,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.85,0.85,0.0,False,True,False,False,normal_digital_mode,summer_stress_window,medium,v0.2,2026-06-23T19:54:21+00:00,hydroclimatic_candidate,hydroclimatic_candidate|atmospheric_demand_candidate,0.85,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,lowest_ndmi_percentile_lte_5,True,2
site_005_episode_20250401_25,site_005,2025-04-01,2025-04-08,2025-04-01,7,3,NDMI_BUFFER_10M,0.1565093009455784,-0.1645359999021968,2.3255813953488373,1.0,normal,normal,strong_persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|strong_persistent_low_signal,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.15,0.15,0.0,False,True,False,False,normal_digital_mode,early_season,high,v0.2,2026-06-23T19:54:21+00:00,phenology_transition,phenology_transition|unexplained_vegetation_anomaly|management_effect_possible,0.6,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,lowest_ndmi_percentile_lte_5|unexplained_vegetation_anomaly|normal_hydro_extreme_ndmi,True,3
site_005_episode_20260401_30,site_005,2026-04-01,2026-04-06,2026-04-01,5,4,NDMI_BUFFER_10M,0.167249368453348,-0.14255542871919838,3.9215686274509802,1.0,normal,normal,strong_persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r4|strong_persistent_low_signal,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.15,0.15,0.0,False,True,False,False,normal_digital_mode,early_season,high,v0.2,2026-06-23T19:54:21+00:00,phenology_transition,phenology_transition|unexplained_vegetation_anomaly|management_effect_possible,0.6,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,lowest_ndmi_percentile_lte_5|unexplained_vegetation_anomaly|normal_hydro_extreme_ndmi,True,3
site_005_episode_20230407_19,site_005,2023-04-07,2023-04-19,2023-04-07,12,2,NDMI_BUFFER_10M,0.2010976015715986,-0.11067837315636711,4.081632653061225,1.0,normal,normal,persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.15,0.15,0.0,False,True,False,False,normal_digital_mode,early_season,high,v0.2,2026-06-23T19:54:21+00:00,phenology_transition,phenology_transition|unexplained_vegetation_anomaly|management_effect_possible,0.6,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,lowest_ndmi_percentile_lte_5|unexplained_vegetation_anomaly|normal_hydro_extreme_ndmi,True,3
site_005_episode_20191030_10,site_005,2019-10-30,2019-10-30,2019-10-30,0,1,NDMI_BUFFER_10M,0.1045026619125295,-0.1789924525492662,4.081632653061225,0.7297297297297297,normal,normal,single,low,review_raster,ndmi_percentile_le_10|normal_hydro_context|rule_r3|usable_satellite_quality,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.15,0.15,0.35,False,True,False,False,normal_digital_mode,late_season,high,v0.2,2026-06-23T19:54:21+00:00,phenology_transition,phenology_transition|unexplained_vegetation_anomaly|management_effect_possible,0.6,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,lowest_ndmi_percentile_lte_5|unexplained_vegetation_anomaly|normal_hydro_extreme_ndmi,True,3
site_005_episode_20211024_14,site_005,2021-10-24,2021-10-26,2021-10-26,2,2,NDMI_BUFFER_10M,0.1577665518239342,-0.1242978536854695,8.88888888888889,1.0,normal,normal,persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,0.85,0.15,0.15,0.0,False,True,False,False,normal_digital_mode,late_season,high,v0.2,2026-06-23T19:54:21+00:00,phenology_transition,phenology_transition|unexplained_vegetation_anomaly|management_effect_possible,0.6,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,unexplained_vegetation_anomaly,True,3
site_005_episode_20230527_20,site_005,2023-05-27,2023-05-29,2023-05-29,2,2,NDMI_BUFFER_10M,0.2753556257969624,-0.09069921116571172,4.444444444444445,1.0,normal,normal,persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.15,0.15,0.0,False,True,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T19:54:21+00:00,unexplained_vegetation_anomaly,unexplained_vegetation_anomaly|management_effect_possible,0.8,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,lowest_ndmi_percentile_lte_5|unexplained_vegetation_anomaly|normal_hydro_extreme_ndmi,True,2
site_005_episode_20250607_27,site_005,2025-06-07,2025-06-12,2025-06-07,5,4,NDMI_BUFFER_10M,0.1746059869592254,-0.13096005811884587,4.918032786885246,1.0,normal,normal,strong_persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|ndmi_percentile_le_20|normal_hydro_context|persistent_low_signal|rule_r4|strong_persistent_low_signal,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,1.0,0.15,0.15,0.0,False,True,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T19:54:21+00:00,unexplained_vegetation_anomaly,unexplained_vegetation_anomaly|management_effect_possible,0.8,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,lowest_ndmi_percentile_lte_5|unexplained_vegetation_anomaly|normal_hydro_extreme_ndmi,True,2
site_005_episode_20240511_22,site_005,2024-05-11,2024-05-13,2024-05-11,2,2,NDMI_BUFFER_10M,0.2787030319104324,-0.08780996722949513,6.521739130434782,1.0,normal,normal,persistent,medium,review_raster,good_satellite_quality|ndmi_percentile_le_10|normal_hydro_context|persistent_low_signal|rule_r4,v0.1,monthly_reference_2016_2025_v0.1_site_005_retrospective_loyo,retrospective_loyo,v0_theoretical_001,theoretical,10,20,0.0,5.0,False,not_started,none,not_available,False,,2026-06-23T19:54:21+00:00,0.85,0.15,0.15,0.0,False,True,False,False,normal_digital_mode,growth,medium,v0.2,2026-06-23T19:54:21+00:00,unexplained_vegetation_anomaly,unexplained_vegetation_anomaly|management_effect_possible,0.8,True,eve_only,15,45,0.0,0.0,0.01,0.1,,,computer,medium,eve_costs_v0_2,theoretical,low,unexplained_vegetation_anomaly,True,2
